City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,60.1432,-45.2371,31.1,93,2,12.57,clear sky
1,Hilo,US,19.7297,-155.09,73.4,64,75,9.08,light rain
2,Cidreira,BR,-30.1811,-50.2056,72.9,91,100,15.17,overcast clouds
3,Port Augusta,AU,-32.5,137.7667,82.99,65,0,21.85,clear sky
4,Rikitea,PF,-23.1203,-134.9692,80.01,69,87,4.25,light rain
5,Jamestown,US,42.097,-79.2353,17.01,79,90,18.41,light snow
6,Hede,CN,33.7681,120.2517,46.17,50,0,12.84,clear sky
7,Zaraza,VE,9.3503,-65.3245,70.68,92,52,4.23,broken clouds
8,Poum,NC,-20.2333,164.0167,80.11,79,98,11.27,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,66.33,83,73,8.05,broken clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,77.0,90,67,1.01,broken clouds
11,Gold Coast,AU,-28.0,153.4333,82.99,61,40,12.66,scattered clouds
12,Port Alfred,ZA,-33.5906,26.891,71.01,82,0,5.01,clear sky
13,Husavik,IS,66.0449,-17.3389,-0.4,85,0,2.3,clear sky
14,Mar Del Plata,AR,-38.0023,-57.5575,71.01,73,0,6.91,light rain
15,Mataura,NZ,-46.1927,168.8643,48.0,80,100,8.01,overcast clouds
16,Busselton,AU,-33.65,115.3333,84.99,43,0,4.0,clear sky
17,Guerrero Negro,MX,27.9769,-114.0611,57.83,77,88,5.84,overcast clouds
18,Sao Filipe,CV,14.8961,-24.4956,74.3,60,100,6.26,overcast clouds
19,Mananjary,MG,-21.2167,48.3333,87.33,60,70,3.78,broken clouds
20,Baksanenok,RU,43.6897,43.6547,33.8,93,75,4.59,light rain
21,Severo-Kurilsk,RU,50.6789,156.125,25.11,92,100,11.74,overcast clouds
22,Sinegorskiy,RU,48.0139,40.8447,35.58,84,99,14.2,overcast clouds
23,Kodiak,US,57.79,-152.4072,33.8,75,90,17.27,light snow
24,Cherskiy,RU,68.75,161.3,-27.9,84,100,3.94,overcast clouds
25,Ambovombe,MG,-25.1667,46.0833,90.14,52,0,6.44,clear sky
26,Benguela,AO,-12.5763,13.4055,77.94,65,99,3.31,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,39.2,70,20,13.8,few clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,1,9.22,clear sky
29,Los Llanos De Aridane,ES,28.6585,-17.9182,64.99,94,0,6.91,clear sky
30,Praya,CV,14.9215,-23.5087,71.6,43,0,12.66,clear sky
31,Okha,RU,53.5739,142.9478,-1.21,93,97,8.79,overcast clouds
32,Irbeyskoye,RU,55.6428,95.4522,4.5,93,100,3.29,snow
33,Onega,RU,63.9061,38.1404,18.73,96,100,11.27,light snow
34,Manokwari,ID,-0.8667,134.0833,77.45,84,100,6.64,overcast clouds
35,Vostok,RU,46.4856,135.8833,-6.72,91,100,7.05,light snow
36,Horconcitos,PA,8.4682,-81.8007,66.07,85,92,9.57,overcast clouds
37,Qaanaaq,GL,77.484,-69.3632,-14.22,61,0,5.37,clear sky
38,Kirkland Lake,CA,48.1446,-80.0377,3.2,85,99,7.16,overcast clouds
39,Tura,IN,25.5198,90.2201,77.29,34,0,4.18,clear sky
40,Bengkulu,ID,-3.8004,102.2655,81.79,72,100,8.88,overcast clouds
41,Hobart,AU,-42.8794,147.3294,64.99,72,75,14.97,broken clouds
42,Ushuaia,AR,-54.8,-68.3,39.2,87,75,26.46,light snow
43,Lompoc,US,34.6391,-120.4579,51.8,87,90,3.44,overcast clouds
44,Bluff,NZ,-46.6,168.3333,48.0,80,100,8.01,overcast clouds
45,Horta,PT,38.5333,-28.6333,60.33,72,28,33.84,scattered clouds
46,Beringovskiy,RU,63.05,179.3167,-6.39,90,100,21.14,overcast clouds
47,Thompson,CA,55.7435,-97.8558,-7.6,84,75,3.44,broken clouds
48,Airai,TL,-8.9266,125.4092,65.37,99,100,6.49,overcast clouds
49,Ormenis,RO,46.0167,25.55,25.0,83,100,1.66,light snow
50,Virginia Beach,US,36.8529,-75.978,32.0,47,1,17.27,clear sky
51,Karlskoga,SE,59.3267,14.5239,21.2,86,20,8.05,few clouds
